"Oregon Health and Science University ,Portland, OR",Biomedical_Bio Engg,
"Syracuse University ,Syracuse, NY",Biomedical_Bio Engg,24984
"Worcester Polytechnic Institute ,Worcester, MA",Biomedical_Bio Engg,24588
"New York University ,Brooklyn, NY",Biomedical_Bio Engg,27828
"Virginia Commonwealth University ,Richmond, VA",Biomedical_Bio Engg,21806
"Binghamton University-- SUNY (Watson) ,Binghamton, NY",Biomedical_Bio Engg,22210
"Cleveland State University ,Cleveland, OH",Biomedical_Bio Engg,17982
"Florida A&M University -  Florida State University ,Tallahassee, FL",Biomedical_Bio Engg,18090
"Florida Institute of Technology ,Melbourne, FL",Biomedical_Bio Engg,21690
"Florida International University ,Miami, FL",Biomedical_Bio Engg,24048
"Louisiana Tech University ,Ruston, LA",Biomedical_Bio Engg,16113
"Mississippi State University (Bagley) ,Mississippi State, MS",Biomedical_Bio Engg,20032
"Old Dominion University ,Norfolk, VA",Biomedical_Bio Engg,
"South Dakota School of Mines and Technology ,Rapid City, SD",Biomedical_Bio Engg,9000
"St. Louis University (Parks) ,St. Louis, MO",Biomedical_Bio Engg,18900
"Stevens Institute of Technology (Schaefer) ,Hoboken, NJ",Biomedical_Bio Engg,32200
"Temple University ,Philadelphia, PA",Biomedical_Bio Engg,23094
"The Catholic University of America ,Washington, DC",Biomedical_Bio Engg,41920
"University of Akron ,Akron, OH",Biomedical_Bio Engg,13462
"University of Arkansas-- Fayetteville ,Fayetteville, AR",Biomedical_Bio Engg,17784
"University of Bridgeport ,Bridgeport, CT",Biomedical_Bio Engg,14220
"University of California-- Santa Cruz (Baskin) ,Santa Cruz, CA",Biomedical_Bio Engg,26322
"University of Cincinnati ,Cincinnati, OH",Biomedical_Bio Engg,24532
"University of Houston (Cullen) ,Houston, TX",Biomedical_Bio Engg,16938
"University of Kansas ,Lawrence, KS",Biomedical_Bio Engg,15840
"University of Kentucky ,Lexington, KY",Biomedical_Bio Engg,26154
"University of Louisville (Speed) ,Louisville, KY",Biomedical_Bio Engg,24274
"University of Massachusetts-- Dartmouth ,North Dartmouth, MA",Biomedical_Bio Engg,8099
"University of Massachusetts-- Lowell (Francis) ,Lowell, MA",Biomedical_Bio Engg,23303
"University of Memphis (Herff) ,Memphis, TN",Biomedical_Bio Engg,18981
"University of Missouri ,Columbia, MO",Biomedical_Bio Engg,17493
"University of Nebraska-- Lincoln ,Lincoln, NE",Biomedical_Bio Engg,19278
"University of Nevada-- Reno ,Reno, NV",Biomedical_Bio Engg,23202
"University of Oklahoma ,Norman, OK",Biomedical_Bio Engg,13320
"University of South Carolina ,Columbia, SC",Biomedical_Bio Engg,27940
"University of South Florida ,Tampa, FL",Biomedical_Bio Engg,21126
"University of Tennessee-- Knoxville ,Knoxville, TN",Biomedical_Bio Engg,30354
"University of Texas-- Arlington ,Arlington, TX",Biomedical_Bio Engg,14753
"University of Texas-- Dallas (Jonsson) ,Richardson, TX",Biomedical_Bio Engg,22282
"University of Texas-- San Antonio ,San Antonio, TX",Biomedical_Bio Engg,19026
"University of Toledo ,Toledo, OH",Biomedical_Bio Engg,17627
"University of Vermont ,Burlington, VT",Biomedical_Bio Engg,
"Wayne State University ,Detroit, MI",Biomedical_Bio Engg,24678
"Wichita State University ,Wichita, KS",Biomedical_Bio Engg,12096
"Wright State University ,Dayton, OH",Biomedical_Bio Engg,22224
"Massachusetts Institute of Technology  ,Cambridge, MA",All Engg,46400
"Stanford University  ,Stanford, CA",All Engg,48720
"University of California-- Berkeley  ,Berkeley, CA",All Engg,26322
"California Institute of Technology  ,Pasadena, CA",All Engg,43710
"Carnegie Mellon University  ,Pittsburgh, PA",All Engg,42000
"University of Michigan-- Ann Arbor  ,Ann Arbor, MI",All Engg,44216
"Georgia Institute of Technology  ,Atlanta, GA",All Engg,27872
"University of Illinois-- Urbana- Champaign  ,Urbana, IL",All Engg,31626
"Purdue University-- West Lafayette  ,West Lafayette, IN",All Engg,29132
"University of Texas-- Austin (Cockrell)  ,Austin, TX",All Engg,17506
"Texas A&M University-- College Station (Look)  ,College Station, TX",All Engg,11484
"Cornell University  ,Ithaca, NY",All Engg,29500
"University of Southern California (Viterbi)  ,Los Angeles, CA",All Engg,28384
"Columbia University (Fu Foundation)  ,New York, NY",All Engg,42768
"University of California-- Los Angeles (Samueli)  ,Los Angeles, CA",All Engg,27732
"University of Wisconsin-- Madison  ,Madison, WI",All Engg,25197
"University of California-- San Diego (Jacobs)  ,La Jolla, CA",All Engg,26322
"Princeton University  ,Princeton, NJ",All Engg,43450
"Northwestern University (McCormick)  ,Evanston, IL",All Engg,48624
"University of Pennsylvania  ,Philadelphia, PA",All Engg,31068
"Johns Hopkins University (Whiting)  ,Baltimore, MD",All Engg,48710
"Virginia Tech  ,Blacksburg, VA",All Engg,27980
"University of California-- Santa Barbara  ,Santa Barbara, CA",All Engg,28296
"Harvard University  ,Cambridge, MA",All Engg,41832
"University of Maryland-- College Park (Clark)  ,College Park, MD",All Engg,28782
"University of Washington  ,Seattle, WA",All Engg,29274
"North Carolina State University  ,Raleigh, NC",All Engg,21951
"Pennsylvania State University-- University Park  ,University Park, PA",All Engg,34384
"University of Minnesota-- Twin Cities  ,Minneapolis, MN",All Engg,24508
"Duke University (Pratt)  ,Durham, NC",All Engg,50880
"Ohio State University  ,Columbus, OH",All Engg,31400
"Rice University (Brown)  ,Houston, TX",All Engg,41560
"University of California-- Davis  ,Davis, CA",All Engg,28266
"University of Colorado-- Boulder  ,Boulder, CO",All Engg,30330
"Boston University  ,Boston, MA",All Engg,47422
"Vanderbilt University  ,Nashville, TN",All Engg,32724
"University of California-- Irvine (Samueli)  ,Irvine, CA",All Engg,29806
"Yale University  ,New Haven, CT",All Engg,38700
"Rensselaer Polytechnic Institute  ,Troy, NY",All Engg,48100
"University of Virginia  ,Charlottesville, VA",All Engg,24778
"University of Rochester  ,Rochester, NY",All Engg,26676
"Northeastern University  ,Boston, MA",All Engg,25596
"Arizona State University (Fulton)  ,Tempe, AZ",All Engg,27086
"University of Florida  ,Gainesville, FL",All Engg,30130
"University of Pittsburgh (Swanson)  ,Pittsburgh, PA",All Engg,40120
"Case Western Reserve University  ,Cleveland, OH",All Engg,41137
"New York University  ,Brooklyn, NY",All Engg,27828
"Iowa State University  ,Ames, IA",All Engg,22250
"Michigan State University  ,East Lansing, MI",All Engg,25218
"University of Notre Dame  ,Notre Dame, IN",All Engg,47730
"Lehigh University (Rossin)  ,Bethlehem, PA",All Engg,24840
"University of Delaware  ,Newark, DE",All Engg,30132
"University of Utah  ,Salt Lake City, UT",All Engg,21628
"Washington University in St. Louis  ,St. Louis, MO",All Engg,47300
"Colorado School of Mines  ,Golden, CO",All Engg,32700
"University of Arizona  ,Tucson, AZ",All Engg,29362
"Dartmouth College (Thayer)  ,Hanover, NH",All Engg,48120
"Rutgers, The State University of New Jersey-- New Brunswick  ,Piscataway, NJ",All Engg,27648
"University of Massachusetts-- Amherst  ,Amherst, MA",All Engg,9937
"University of Illinois-- Chicago  ,Chicago, IL",All Engg,27460
"University at Buffalo-- SUNY  ,Buffalo, NY",All Engg,22210
"Auburn University (Ginn)  ,Auburn, AL",All Engg,26406
"Stony Brook University-- SUNY  ,Stony Brook, NY",All Engg,22210
"University of Tennessee-- Knoxville  ,Knoxville, TN",All Engg,30354
"Brown University  ,Providence, RI",All Engg,48272
"Clemson University  ,Clemson, SC",All Engg,20550
"Drexel University  ,Philadelphia, PA",All Engg,32079
"Tufts University  ,Medford, MA",All Engg,30072
"University of Dayton  ,Dayton, OH",All Engg,17118
"University of Iowa  ,Iowa City, IA",All Engg,25574
"Colorado State University  ,Fort Collins, CO",All Engg,24896
"University of California-- Riverside (Bourns)  ,Riverside, CA",All Engg,26322
"Illinois Institute of Technology (Armour)  ,Chicago, IL",All Engg,23634
"University of Connecticut  ,Storrs, CT",All Engg,33300
"University of Houston (Cullen)  ,Houston, TX",All Engg,16938
"University of Texas-- Dallas (Jonsson)  ,Richardson, TX",All Engg,22282
"Oregon State University  ,Corvallis, OR",All Engg,22932
"Stevens Institute of Technology (Schaefer)  ,Hoboken, NJ",All Engg,32200
"Syracuse University  ,Syracuse, NY",All Engg,24984
"University of North Carolina-- Chapel Hill  ,Chapel Hill, NC",All Engg,26463
"Washington State University  ,Pullman, WA",All Engg,25216
"Michigan Technological University  ,Houghton, MI",All Engg,15507
"University of Central Florida  ,Orlando, FL",All Engg,21492
"University of Cincinnati  ,Cincinnati, OH",All Engg,24532
"University of New Mexico  ,Albuquerque, NM",All Engg,15444
"University of Texas-- Arlington  ,Arlington, TX",All Engg,14753
"Rochester Institute of Technology (Gleason)  ,Rochester, NY",All Engg,40158
"University of Alabama-- Huntsville  ,Huntsville, AL",All Engg,21402
"University of California-- Santa Cruz (Baskin)  ,Santa Cruz, CA",All Engg,26322
"Worcester Polytechnic Institute  ,Worcester, MA",All Engg,24588
"University of Missouri  ,Columbia, MO",All Engg,17493
"George Washington University  ,Washington, DC",All Engg,28530
"Missouri University of Science & Technology  ,Rolla, MO",All Engg,25766
"New Jersey Institute of Technology  ,Newark, NJ",All Engg,27340
"Texas Tech University (Whitacre)  ,Lubbock, TX",All Engg,11880
